30;4;33;2339;31;0;2980
42;3;31;2014;34;0;2143
22;3;13;518;17;0;591
3;0;1;74;2;0;99
52;4;23;696;27;0;828
1;0;0;5;1;0;36
35;2;10;1282;19;0;1378
40;2;19;1536;23;0;1648
66;4;69;4410;41;0;4623
48;5;61;3120;44;0;3306
39;4;64;3819;42;0;4001
45;4;59;2540;40;0;2721
32;4;45;2312;16;0;2437
42;4;27;2012;12;0;2130
21;3;15;653;7;0;732
48;5;73;2636;48;0;2848
67;10;182;5700;49;0;6051
34;3;14;695;24;1;810
6;1;3;165;2;0;219
10;1;8;675;16;0;753
79;7;176;7208;48;0;7567
79;4;82;5069;44;0;5335
144;18;526;12984;81;0;13807
83;5;117;6358;54;1;6663
1;1;0;4;1;0;62
13;2;3;236;4;1;307
71;7;142;3012;40;0;3321
119;10;279;7635;59;0;8161
79;6;115;5076;58;0;5391
68;6;56;2846;21;0;3058
0;0;0;0;0;1;56
0;0;0;0;1;0;61
21;2;23;2108;34;0;2252
58;4;45;2114;15;0;2295
18;2;16;1539;8;0;1643
87;6;220;9068;44;0;9492
70;4;69;3173;22;0;3401
41;4;20;1429;12;0;1569
95;12;369;10331;51;0;10927
11;1;6;823;6;0;919
9;1;6;759;15;0;862
32;3;29;2010;27;0;2177
52;6;118;5991;28;0;6268
119;16;567;17195;89;0;18088
50;3;18;2919;27;0;3109
76;6;88;6516;49;0;6825
130;14;396;14553;77;0;15256
110;9;201;8547;66;0;9021
24;2;11;854;22;0;998
66;3;91;7971;54;0;8274
113;15;528;17791;87;0;18631
78;7;147;8102;60;0;8493
70;6;140;8038;59;0;8408
16;2;4;401;3;1;630
52;3;21;7392;37;1;7610
87;7;143;9712;58;0;10112
32;2;25;3441;37;0;3654
16;1;3;344;6;1;535
63;5;71;5428;46;0;5722
55;4;36;3118;41;0;3370
93;9;227;12754;65;0;13279
64;8;142;9824;55;0;10209
68;8;137;8897;57;0;9284
28;3;14;1279;26;0;1465
39;3;11;1986;25;1;2189
113;11;316;16397;74;0;17031
4;1;1;386;7;0;516
86;6;125;9771;59;0;10171
128;13;471;20651;57;0;21434
87;9;256;12648;68;0;13186
84;7;107;7704;27;1;8039
110;13;406;18948;75;0;19674
71;5;62;3822;45;0;4120
3;0;2;349;3;0;472
134;16;543;23119;65;0;24026
5;0;1;10;1;0;154
33;2;10;1549;15;1;1752
92;7;193;18145;64;1;18657
34;2;10;1816;17;0;2023
16;2;12;2087;21;0;2303
42;4;61;7558;49;0;7866
46;5;51;6353;40;0;6649
70;5;47;5114;44;0;5431
135;13;425;24048;78;0;24858
125;13;375;22978;75;0;23719
99;7;187;17560;64;0;18077
83;6;117;23016;48;0;23432
20;2;10;2422;23;1;2643
52;6;73;7124;47;0;7482
64;4;56;5637;16;0;5937
49;6;59;6238;41;0;6554
35;3;9;1853;16;1;2071
58;4;78;10234;50;0;10604
96;11;240;16540;65;0;17125
69;6;178;16684;41;0;17136
111;12;302;17430;72;0;18178
73;4;58;6756;45;1;7122
81;6;95;9566;49;0;9961
18;2;5;377;1;0;584
135;16;585;30922;86;0;31918
50;2;20;5282;37;0;5596
8;0;6;1588;16;0;1823
56;5;76;8475;47;0;8863
79;6;109;10995;51;1;11467
76;8;221;
