1,2.98
2,5.123
3,5.714
4,5.813
5,6.641
6,6.677
7,8.055
8,9.703
9,14.326
10,17.632
11,21.633
12,24.354
13,26.791
14,28.921
15,29.653
16,32.501
17,38.552
18,39.362
19,39.581
20,40.334
21,47.901
22,53.236
23,67.043
24,73.706
25,73.768
26,74.075
27,77.396
28,85.557
29,90.948
30,94.006
31,94.062
32,94.123
33,96.375
34,98.67
35,100.313
36,109.805
37,113.206
38,114.775
39,125.702
40,126.621
41,127.483
42,129.66
43,135.928
44,154.016
45,157.125
46,163.95
47,179.206
48,188.227
49,189.225
50,197.499
51,216.13
52,224.623
53,233.031
54,233.661
55,241.271
56,251.383
57,255.037
58,255.572
59,261.294
60,264.664
61,277.943
62,288.152
63,297.436
64,298.901
65,301.09
66,318.121
67,318.637
68,328.808
69,350.242
70,363.428
71,371.467
72,391.141
73,395.261
74,395.733
75,419.759
76,419.913
77,421.665
78,440.322
79,442.345
80,444.648
81,452.514
82,459.163
83,464.594
84,489.452
85,513.171
86,531.248
87,554.68
88,557.323
89,564.805
90,570.742
91,577.296
92,579.367
93,589.971
94,607.096
95,624.232
96,642.41
97,649.532
98,659.493
99,660.077
100,691.995
